Age,C/N,d13C,d15N,TC,Bsi,MS
"6,284.00",8.58,-18.74,2.14,7.26,136.94,46.02
"6,304.00",8.44,-18.67,2.05,7.29,136.38,46.17
"6,324.00",8.14,-18.67,1.86,7.36,136.26,45.81
"6,344.00",8.6,-18.11,1.47,7.79,137.72,45.46
"6,364.00",8.58,-18.28,1.42,7.61,139.33,45.21
"6,384.00",8.2,-18.93,1.62,7.03,139.74,45.04
"6,404.00",8.07,-19.18,1.76,6.76,134.81,44.85
"6,424.00",8.73,-18.21,1.75,7.52,129.26,45.04
"6,444.00",9.52,-17.06,1.76,8.41,124.64,45.33
"6,464.00",9.03,-17.87,2.13,7.4,123.48,45.13
"6,483.00",9.46,-17.37,2.13,7.71,122.64,44.33
"6,503.00",10,-16.7,1.96,8.17,122.14,43.59
"6,523.00",9.33,-17.68,1.94,6.98,122.54,44.2
"6,543.00",8.7,-18.76,2.47,7.04,122.98,49.98
"6,563.00",8.72,-19.71,2.83,7.84,126.08,58.43
"6,583.00",9.34,-20.3,2.75,8.71,132.23,66.13
"6,603.00",8.65,-19.9,2.87,7.65,135.45,62
"6,623.00",8.34,-19.67,3.02,7.43,138.21,56.16
"6,643.00",8.37,-19.48,3.02,7.74,137.67,51.34
"6,663.00",8.43,-19.12,2.76,7.8,130.68,48.57
"6,683.00",8.32,-19.4,2.67,7.42,123.86,46.93
"6,703.00",8.19,-19.46,2.64,7.25,126.45,45.79
"6,723.00",8.06,-19.37,2.52,7.11,133.4,45.05
"6,743.00",7.99,-19.25,2.29,6.94,138.5,44.77
"6,763.00",8.08,-19,2.17,7.08,137.51,44.84
"6,783.00",8.14,-18.75,2.2,7.3,136.1,44.75
"6,803.00",8.25,-18.79,2.16,7.82,138.13,44.2
"6,823.00",8.73,-19.4,1.99,8.44,142.06,43.19
"6,843.00",9.15,-20.01,1.83,8.52,144.51,41.97
"6,863.00",8.3,-19.19,1.85,7.52,142.75,41.11
"6,883.00",8.23,-19.03,1.72,7.43,140.43,40.89
"6,903.00",8.33,-18.68,1.57,7.2,134.55,40.93
"6,923.00",8.88,-17.6,1.18,7.22,127.66,40.96
"6,943.00",9.14,-17.22,1.17,7.84,127.84,40.84
"6,963.00",8.81,-17.89,1.48,8.17,135.02,40.47
"6,983.00",8.53,-18.3,1.4,7.62,139.08,39.75
"7,003.00",8.69,-17.91,1.29,7.95,134.16,38.58
"7,023.00",8.82,-17.36,1.24,7.89,129.26,37.67
"7,043.00",8.41,-17.58,1.19,7.68,128.82,37.31
"7,063.00",8.34,-17.49,1.21,7.51,129.31,37.67
"7,083.00",8.26,-17.34,1.16,7.66,130.13,38.16
"7,103.00",8.16,-17.71,1.12,7.3,131.12,38.53
"7,123.00",8.08,-17.94,1.13,7.09,132.64,38.95
"7,143.00",8.04,-17.64,1.09,7.54,134.83,39.48
"7,163.00",8.12,-17.48,0.94,7.77,135.95,39.84
"7,183.00",8.18,-17.41,0.91,7.86,134.41,39.88
"7,203.00",8.07,-17.37,0.96,7.94,132.73,39.68
"7,223.00",8.03,-17.14,0.99,8.18,131.03,39.55
"7,243.00",8.44,-16.6,0.61,8.66,129.41,39.76
"7,263.00",7.99,-17.18,0.88,8.13,128.63,39.69
"7,283.00",9.04,-17.54,0.93,8.4,128.13,39.57
"7,303.00",9.28,-17.54,0.9,8.36,130.51,39.52
"7,323.00",9.18,-17.35,0.85,8.33,134.36,39.55
"7,343.00",9.18,-17.36,0.84,8.38,135.95,39.83
"7,363.00",9.02,-17.56,0.87,8.17,134.59,40.42
"7,383.00",9.01,-17.45,0.85,7.94,134.22,41.12
"7,403.00",9.29,-17.6,0.97,8.03,136.48,42.03
"7,423.00",10,-18.63,0.91,8.53,138.37,42.87
"7,443.00",9.3,-17.63,0.9,7.67,136.93,44.01
"7,463.00",9.31,-17.29,0.9,7.61,134.88,42.88
"7,483.00",9.86,-16.65,0.9,8.69,132.87,41.78
"7,502.00",9.84,-16.97,0.99,8.61,130.87,41.87
"7,522.00",9.44,-17.56,1.1,7.81,129.38,43.03
"7,542.00",9.66,-16.8,1.1,8.13,128.7,44.77
"7,562.00",10.22,-16.49,1.11,8.29,128.49,46.48
"7,582.00",9.46,-17.28,1.18,7.43,130.86,47.65
"7,602.00",9.29,-17.63,1.2,7.07,133.59,48.81
"7,622.00",10.21,-16.81,1.05,7.97,134.16,49.79
"7,642.00",10.73,-16.39,0.96,8.34,133.34,50.52
"7,662.00",9.89,-17.44,1.09,7.02,132.09,51.24
"7,682.00",9.68,-17.66,1.09,6.83,129.19,52.59
