Age,C/N,d13C,d15N,TC,Bsi,MS
"4,685.00",8.27,-23.51,1.71,4.43,33.44,66
"4,705.00",8.3,-23.58,1.69,4.39,33.26,66
"4,725.00",8.48,-23.58,1.52,4.17,33.08,66.15
"4,745.00",8.21,-23.42,1.84,3.95,32.82,68.51
"4,765.00",9.87,-24.22,1.87,5,32.47,70.37
"4,785.00",9.43,-23.69,1.75,4.74,32.13,72.15
"4,805.00",8.25,-23.2,1.8,3.86,31.78,76.72
"4,825.00",8.09,-23.3,1.88,2.87,31.48,88.34
"4,845.00",7.98,-23.31,1.95,3.05,32.06,103.58
"4,865.00",8.07,-23.81,1.9,3.83,32.99,100.99
"4,885.00",8.31,-23.28,1.7,3.66,33.92,87.3
"4,905.00",8.27,-23.26,1.7,3.14,34.85,76.79
"4,925.00",8.17,-23.69,1.72,3.05,35.72,71.44
"4,945.00",8.09,-24.1,1.7,2.07,35.9,68.61
"4,965.00",8.12,-23.76,1.51,3.21,35.89,67.63
"4,985.00",8.18,-23.6,1.49,3.56,35.87,69.57
"5,005.00",8.34,-23.48,1.47,3.76,35.85,73.73
"5,025.00",8.35,-23.42,1.53,3.84,35.78,77.64
"5,045.00",8.32,-23.39,1.59,3.81,35.03,79.92
"5,065.00",8.31,-23.42,1.4,3.91,34.08,78.45
"5,085.00",8.25,-23.35,1.48,3.61,33.13,73.76
"5,105.00",8.51,-23.2,1.45,3.39,32.18,70.89
"5,125.00",8.77,-22.78,1.3,3.24,31.27,68.91
"5,145.00",8.97,-22.29,1.15,3.61,31.73,67.92
"5,165.00",9.84,-23.49,1.44,4.34,32.86,66.02
"5,185.00",9.42,-23.75,1.43,4.21,34,63.57
"5,205.00",8.48,-23.3,1.33,4.11,35.13,62.06
"5,225.00",8.36,-23.87,1.36,4.49,36.27,61.15
"5,245.00",8.31,-24,1.41,4.52,36.54,63.37
"5,265.00",8.1,-23.49,1.51,4.44,35.72,66.33
"5,285.00",7.88,-23.53,1.5,4.53,34.89,70.63
"5,305.00",7.58,-23.17,1.69,4.44,34.07,76.36
"5,325.00",7.46,-22.99,1.86,4.2,33.24,85.47
"5,345.00",7.01,-22.7,1.43,3.87,32.47,92.8
"5,365.00",7.58,-22.64,1.8,4.09,31.97,92.75
"5,385.00",7.39,-22.68,1.96,3.77,31.5,89.32
"5,405.00",7.28,-22.67,1.91,3.54,31.03,88.25
"5,425.00",7.52,-22.73,1.97,2.79,30.56,89.44
"5,445.00",7,-22.6,1.82,2.81,30.11,92.28
"5,465.00",6.95,-22.62,1.77,3.17,30.13,97.8
"5,484.00",7.76,-23.05,1.93,3.24,30.4,110.1
"5,504.00",7.48,-23.06,1.92,3.1,30.68,136.95
"5,524.00",7.29,-22.96,2.01,3.13,30.95,184.56
"5,544.00",6.9,-22.99,1.94,3.34,30.46,261.83
"5,564.00",6.63,-23.09,1.87,3.34,28.21,347.71
"5,584.00",6.96,-22.85,1.95,2.97,25.9,388.49
"5,604.00",6.78,-22.65,1.98,2.76,23.58,351.59
"5,624.00",5.57,-23.07,1.82,1.87,21.58,266.95
"5,644.00",6.48,-22.99,1.91,2.52,22.98,182.85
"5,664.00",7.89,-22.07,1.8,3.02,25.29,127.61
"5,684.00",8.4,-21.04,1.46,2.81,27.61,97.08
"5,704.00",7.46,-22.85,1.94,3.7,29.93,80.34
"5,724.00",7.45,-22.93,2.07,3.5,32.25,71.15
"5,744.00",6.63,-23.32,2.09,3.29,34.39,68.06
"5,764.00",7.08,-23.29,2.07,3.19,34.54,68
"5,784.00",7.27,-23.24,1.89,3.24,34.14,69.58
"5,804.00",7.23,-23.41,1.89,3.48,33.75,72.82
"5,824.00",7.52,-23.12,1.93,3.58,33.35,74.24
"5,844.00",8.04,-22.49,1.88,3.68,32.95,76.29
"5,864.00",8.38,-22.56,2.01,4.1,32.66,78.69
"5,884.00",8.64,-22.7,2.14,3.33,32.84,81.66
"5,904.00",8.41,-23.18,2.22,3.18,33.06,82.91
"5,924.00",8.21,-23.16,2.24,2.99,33.29,80.03
"5,944.00",8.28,-23.05,2.26,2.71,33.51,76.19
"5,964.00",8.4,-23.02,2.23,2.99,33.73,72.64
"5,984.00",8.41,-22.98,2.12,3.87,33.79,71
"6,004.00",8.4,-22.95,1.98,4.08,33.37,70.63
"6,024.00",8.34,-22.93,1.69,3.92,32.91,70.09
"6,044.00",8.32,-23.29,1.79,4,32.46,70.93
"6,064.00",8.32,-23.58,1.89,4.05,32,73.38
"6,084.00",8.29,-23.65,1.89,3.88,31.55,76.98
"6,104.00",8.21,-23.61,1.91,3.56,31.1,83.03
"6,124.00",8.14,-23.58,1.94,3.6,30.72,89.79
"6,144.00",8.21,-23.96,2.13,2.93,30.35,96.92
"6,164.00",8.33,-24.21,2.19,2.66,29.98,102.48
"6,184.00",8.45,-24.09,2,3.18,29.6,109.59
"6,204.00",8.66,-23.95,1.8,3.32,29.23,117.95
"6,224.00",8.67,-24.03,1.77,3.74,28.86,130.4
"6,244.00",8.61,-24.2,1.8,3.73,28.24,146.83
"6,264.00",8.99,-24.58,1.85,3.25,27.3,165.37
"6,284.00",11.24,-25.77,2,3.71,26.36,177.67
"6,304.00",10.97,-24.47,1.96,3.53,25.43,173.12
"6,324.00",9.67,-23.19,1.81,2.94,24.49,158.79
"6,344.00",9.23,-24.79,1.66,2.39,23.55,145.9
"6,364.00",9.09,-25.14,1.69,2.84,22.61,139.83
"6,384.00",9.04,-25.09,1.77,3.06,21.98,138.03
"6,404.00",8.99,-25.03,1.87,2.57,21.82,139.22
"6,424.00",8.89,-24.94,2.06,3.17,21.67,145.9
"6,444.00",8.64,-24.69,2.23,3.51,21.52,161.17
"6,464.00",8.25,-24.27,2.32,3.09,21.36,187.31
"6,483.00",8.17,-24.09,2.35,1.93,21.21,220.6
"6,503.00",8.17,-23.98,2.38,1.24,21.49,249.4
"6,523.00",8.16,-23.86,2.4,1.57,22.47,254.86
"6,543.00",8.16,-23.75,2.42,1.91,23.46,233.83
"6,563.00",8.13,-23.66,2.43,2.33,24.45,196.16
"6,583.00",8.05,-23.62,2.4,2.98,25.44,158.59
"6,603.00",8.01,-23.75,2.34,3.22,26.43,130.11
"6,623.00",7.97,-23.91,2.28,3.14,27.42,110.87
"6,643.00",7.7,-23.75,2.28,2.76,28.41,98.35
"6,663.00",7.5,-23.61,2.28,2.58,29.39,90.39
"6,683.00",7.51,-23.63,2.27,2.89,30.37,84.83
"6,703.00",7.54,-23.65,2.27,2.66,30.5,81.59
"6,723.00",7.58,-23.68,2.24,2.16,30.08,80.18
"6,743.00",7.74,-23.71,2.02,2.32,29.65,80
"6,763.00",7.89,-23.79,1.88,2.57,29.23,80.68
"6,783.00",7.87,-24.12,2.22,2.54,28.8,82.91
"6,803.00",7.94,-24.34,2.37,2.65,28.37,85.8
"6,823.00",8.18,-24.31,2.12,3.06,27.95,89.42
"6,843.00",8.29,-24.31,2.01,3.19,27.52,94.58
"6,863.00",8.3,-24.33,2.02,3.1,27.12,101.54
"6,883.00",8.31,-24.35,2.02,3.15,27.4,111.28
"6,903.00",8.3,-24.36,2.03,3.24,28.01,119.94
"6,923.00",8.11,-24.25,2.09,2.63,28.61,125.73
"6,943.00",7.87,-23.95,2.15,1.81,29.22,125.98
"6,963.00",7.86,-22.28,2.09,1.16,29.83,121.5
