Age,C/N,d13C,d15N,TC,Bsi,MS
"6,903.00",8.31,-20.63,0.76,2.24,89.22,145
"6,923.00",7.99,-20.89,0.73,2.15,89,137.95
"6,943.00",8.27,-21.1,0.43,2.57,89,134.07
"6,963.00",8.05,-20.69,0.42,2.22,90.31,121.3
"6,983.00",8.13,-20.83,0.45,2.35,93.81,130.62
"7,003.00",8.59,-20.92,0.33,2.72,97.05,121.18
"7,023.00",8.57,-20.98,0.27,2.71,96.13,111.86
"7,043.00",9.1,-21.23,0.12,3.31,93.83,114.4
"7,063.00",9.91,-21.81,0.01,4.01,92.05,132.1
"7,083.00",10.26,-21.61,0.06,3.65,91.77,158.72
"7,103.00",9.1,-21.2,0.41,2.91,91.58,162.79
"7,123.00",7.91,-20.82,0.84,2.03,91.39,167.6
"7,143.00",7.91,-20.93,0.94,1.95,91.2,161.61
"7,163.00",8.05,-20.87,0.63,2.08,91.46,159.56
"7,183.00",8.25,-21,0.58,2.52,95.02,173.49
"7,203.00",8.14,-20.98,0.51,2.7,99.25,183.24
"7,223.00",7.95,-19.82,1,2.02,100.59,170.36
"7,243.00",8.1,-19.73,1.05,1.99,96.92,141.21
"7,263.00",8.13,-20.17,0.99,2.08,93.19,163.54
"7,283.00",10.62,-21.01,0.61,3.5,90.95,181.74
"7,303.00",8.88,-20.15,0.93,2.51,89.44,190.74
"7,323.00",7.66,-19.82,1.25,1.72,87.56,191.25
"7,343.00",7.94,-19.59,1.15,1.77,83.76,183.69
"7,363.00",7.92,-18.93,1.08,1.79,79.69,159.19
"7,383.00",7.91,-18.97,0.94,1.78,79.14,109.12
"7,403.00",8.12,-19.29,0.85,2,84.93,84.61
"7,423.00",11.84,-20.81,0.63,3.85,90.75,79.65
"7,443.00",13.97,-21.31,0.34,4.43,89.94,95.26
"7,463.00",15.4,-22.05,0.35,5.45,85.13,137.02
"7,483.00",16.32,-21.78,0.3,5.96,81.63,160.77
"7,502.00",10.36,-19.72,0.47,3.09,88.48,132.12
"7,522.00",10,-19.89,0.48,2.75,97.56,107.06
"7,542.00",9.54,-19.94,0.61,2.76,103.44,133.21
"7,562.00",11.69,-21.11,0.32,3.96,99.42,164.64
"7,582.00",10.51,-20.34,0.38,3.28,94.7,158.05
"7,602.00",8.22,-19.52,0.44,2.08,92.17,138.93
"7,622.00",8.36,-19.6,0.39,1.97,92.51,142.48
"7,642.00",11.29,-20.08,0.25,2.76,92.86,141.08
"7,662.00",10.3,-19.63,0.15,2.58,92.55,147.51
"7,682.00",12.88,-20.55,0.2,3.65,91.84,208.1
"7,702.00",12.73,-20.58,0.18,3.57,90.98,248.15
"7,722.00",10.82,-20.26,0.41,2.75,88.12,170.83
"7,742.00",9,-19.57,1.11,1.63,84.62,125.5
"7,762.00",10.09,-20.6,1.07,2.38,81.8,120.81
"7,782.00",13.61,-21.27,0.47,4.13,83.72,138.11
"7,802.00",11.4,-20.37,0.39,3.2,86.52,165.55
"7,822.00",11.44,-20.76,0.27,3.41,88.99,152.97
"7,842.00",9.9,-20.54,0.27,2.47,90.17,156.68
"7,862.00",9,-20.47,-0.18,2.39,91.22,144.34
"7,882.00",10.61,-20.97,-0.21,2.98,91.37,138.39
"7,902.00",11.22,-20.63,-0.2,3.01,89.39,138.25
"7,922.00",12.68,-20.84,-0.14,3.52,87.32,128.58
"7,942.00",12.36,-20.87,-0.14,3.56,87.77,122.38
"7,962.00",11.39,-20.13,0.08,3.37,92.44,131.62
"7,982.00",11.9,-20.56,0.16,3.4,97.18,185.56
"8,002.00",13.85,-21.34,0.27,3.98,97.76,231.49
