Age,C/N,d13C,d15N,TC,Bsi,MS
"4,286.00",9.64,-26.25,2.53,1.01,78.97,748
"4,306.00",9.52,-26.26,2.55,1.08,78.97,771
"4,326.00",9.38,-26.27,2.58,0.82,81.91,792
"4,346.00",9.6,-26.28,2.6,0.96,84.85,799
"4,366.00",9.61,-26.29,2.63,0.85,87.04,786
"4,386.00",9.43,-26.3,2.66,0.88,86.5,763
"4,406.00",9.26,-26.31,2.68,1.02,84.3,743
"4,426.00",9.43,-26.32,2.71,1.06,82.15,732
"4,446.00",9.51,-26.33,2.73,1.43,88.52,727
"4,466.00",9.11,-26.34,2.76,1.22,90.4,729
"4,485.00",9.18,-26.35,2.77,0.99,86.26,740
"4,505.00",9.41,-26.38,2.66,0.89,78.82,760
"4,525.00",9.8,-26.42,2.54,1.09,80.23,774
"4,545.00",9.84,-26.45,2.41,0.92,80.46,780
"4,565.00",9.45,-26.49,2.29,0.93,63.64,787
"4,585.00",9.57,-26.52,2.17,0.93,63.23,791
"4,605.00",9.87,-26.56,2.04,0.87,77.4,787
"4,625.00",9.65,-26.59,1.92,0.94,84.98,785
"4,645.00",9.38,-26.62,1.82,0.81,83.58,787
"4,665.00",9.27,-26.61,1.82,0.91,94.08,787
"4,685.00",9.64,-26.6,1.83,0.89,90.84,789
"4,705.00",9.64,-26.59,1.85,0.89,76.71,792
"4,725.00",9.66,-26.57,1.87,0.88,95.54,794
"4,745.00",9.93,-26.56,1.89,0.94,93.16,792
"4,765.00",9.96,-26.55,1.91,1.08,86.91,788
"4,785.00",9.58,-26.53,1.92,1.06,94.44,796
"4,805.00",9.47,-26.52,1.94,0.88,82.07,819
"4,825.00",9.69,-26.5,1.96,0.81,69.38,838
"4,845.00",10.01,-26.49,1.98,0.88,72.59,834
"4,865.00",9.81,-26.48,1.99,0.88,80.16,807
"4,885.00",10.09,-26.46,2.01,1.02,85.07,776
"4,905.00",10.72,-26.45,2.03,1.02,88.49,760
"4,925.00",10.4,-26.44,2.05,1.01,90.22,769
"4,945.00",9.97,-26.42,2.07,0.91,87.11,786
"4,965.00",9.9,-26.41,2.08,0.85,83.71,793
"4,985.00",9.74,-26.4,2.1,0.95,80.55,793
"5,005.00",10.18,-26.38,2.12,0.95,84.31,807
"5,025.00",10.05,-26.37,2.14,0.86,75.59,833
"5,045.00",9.69,-26.36,2.15,0.93,72.39,845
"5,065.00",9.54,-26.34,2.17,0.83,76.77,843
