Age,C/N,d13C,d15N,TC,Bsi,MS
"4,446.00",7.07,-19.2,-0.78,3.83,133.4,9.17
"4,466.00",7.09,-19.2,-0.78,3.84,134.3,10.06
"4,485.00",7.11,-19.2,-0.77,3.84,135.3,9.3
"4,505.00",7.13,-19.2,-0.76,3.85,136.7,7.31
"4,525.00",7.15,-19.2,-0.75,3.86,138.3,5.83
"4,545.00",7.17,-19.2,-0.75,3.87,139.3,4.78
"4,565.00",7.18,-19.2,-0.74,3.87,140.3,4.02
"4,585.00",7.18,-19.2,-0.72,3.89,141.3,3.77
"4,605.00",7.13,-19.2,-0.7,3.92,142.3,4.32
"4,625.00",7.08,-19.23,-0.68,3.95,143.3,5.31
"4,645.00",7.03,-19.3,-0.65,3.98,144.3,6.56
"4,665.00",6.97,-19.3,-0.63,4.02,145.3,7.36
"4,685.00",6.92,-19.3,-0.61,4.05,146.3,7.57
"4,705.00",6.87,-19.3,-0.59,4.08,147.7,7.57
"4,725.00",6.82,-19.3,-0.56,4.11,149,7.25
"4,745.00",6.76,-19.3,-0.54,4.15,148.7,6.5
"4,765.00",6.71,-19.3,-0.52,4.18,148,5.59
"4,785.00",6.66,-19.3,-0.5,4.21,148,4.82
"4,805.00",6.6,-19.3,-0.47,4.24,147.7,4.32
"4,825.00",6.55,-19.3,-0.45,4.28,147,4.19
"4,845.00",6.5,-19.33,-0.43,4.31,147,4.13
"4,865.00",6.46,-19.4,-0.42,4.33,146.7,4.1
"4,885.00",6.46,-19.4,-0.42,4.29,146,4.19
"4,905.00",6.51,-19.4,-0.45,4.21,146,4.38
"4,925.00",6.56,-19.4,-0.48,4.13,145.7,4.53
"4,945.00",6.61,-19.4,-0.51,4.05,145,4.71
"4,965.00",6.66,-19.37,-0.54,3.97,145,4.98
"4,985.00",6.71,-19.3,-0.57,3.89,144.7,5.05
"5,005.00",6.76,-19.3,-0.6,3.81,144,4.86
"5,025.00",6.81,-19.3,-0.63,3.72,144,4.74
"5,045.00",6.86,-19.3,-0.66,3.64,144.3,4.75
"5,065.00",6.9,-19.3,-0.68,3.56,145,4.81
"5,085.00",6.95,-19.3,-0.71,3.47,145,5.02
"5,105.00",7,-19.3,-0.74,3.39,145.3,5.53
"5,125.00",7.04,-19.3,-0.77,3.31,146,6.14
"5,145.00",7.09,-19.3,-0.79,3.24,146,6.73
"5,165.00",7.13,-19.33,-0.79,3.21,146,7.1
"5,185.00",7.15,-19.4,-0.75,3.22,146.3,7.64
"5,205.00",7.17,-19.4,-0.72,3.24,147,9.05
"5,225.00",7.19,-19.4,-0.69,3.25,147,10.19
"5,245.00",7.21,-19.43,-0.65,3.27,147.3,10.38
"5,265.00",7.24,-19.5,-0.62,3.28,148,12.25
"5,285.00",7.26,-19.5,-0.59,3.29,148,16.49
"5,305.00",7.28,-19.53,-0.56,3.31,147.7,20.17
"5,325.00",7.3,-19.6,-0.52,3.32,147,22.09
"5,345.00",7.32,-19.6,-0.49,3.34,147,21.32
"5,365.00",7.34,-19.6,-0.46,3.35,146.7,20.58
"5,385.00",7.37,-19.63,-0.42,3.36,146,21.36
"5,405.00",7.39,-19.7,-0.39,3.38,145.7,19.45
"5,425.00",7.4,-19.7,-0.36,3.4,145,14.14
"5,445.00",7.41,-19.7,-0.35,3.42,145,10.27
"5,465.00",7.4,-19.7,-0.35,3.44,144.7,8.11
"5,484.00",7.39,-19.67,-0.36,3.47,144,7.15
"5,504.00",7.38,-19.6,-0.36,3.49,143.7,7.19
"5,524.00",7.38,-19.6,-0.36,3.52,143,7.92
"5,544.00",7.37,-19.6,-0.36,3.54,143,9.87
"5,564.00",7.36,-19.6,-0.37,3.56,142.7,14.3
"5,584.00",7.35,-19.6,-0.37,3.59,141.7,25.57
"5,604.00",7.34,-19.6,-0.37,3.61,140.2,52.1
"5,624.00",7.34,-19.57,-0.37,3.63,137.5,84.62
"5,644.00",7.33,-19.5,-0.38,3.66,135.5,113.56
"5,664.00",7.32,-19.5,-0.38,3.68,133.5,124.23
